file_size_KB,chunk_size_KB,access_count,access_count_label,avg_read_KB,avg_write_KB,max_read_KB,max_write_KB,read_ops,write_ops,throughput_KBps,combination,OT
1024,16384,15,2,217.8,265.9,418,400,5,10,26208.11,1024 | 2,1
1024,512,12,2,312.2,179.5,496,291,10,2,25832.2,1024 | 2,1
1024,8192,22,3,247.25,156.5,503,199,20,2,23172.06,1024 | 3,0
1024,2048,20,2,310.9,283.3,494,512,10,10,24282.37,1024 | 2,0
1024,16384,12,2,296.0,342.0,446,358,10,2,23860.09,1024 | 2,0
1024,2048,30,3,316.9,202.6,498,495,20,10,23063.71,1024 | 3,0
1024,1024,20,2,332.3,341.6,477,509,10,10,24838.24,1024 | 2,1
1024,32768,30,3,291.5,289.4,506,492,20,10,23731.17,1024 | 3,0
1024,1024,25,3,276.75,270.0,502,438,20,5,25167.35,1024 | 3,1
1024,65536,15,2,272.6,308.8,444,469,10,5,25552.82,1024 | 2,1
1024,128,22,3,57.5,79.0,126,80,20,2,23296.45,1024 | 3,0
1024,16384,30,3,263.65,261.0,437,492,20,10,25643.38,1024 | 3,1
1024,128,25,3,66.8,93.4,121,124,20,5,24179.98,1024 | 3,0
1024,1024,30,3,251.35,327.4,486,466,20,10,24357.27,1024 | 3,0
1024,512,15,2,273.8,410.0,511,487,10,5,24277.7,1024 | 2,0
1024,4096,15,2,250.2,197.7,504,443,5,10,22785.8,1024 | 2,0
1024,128,15,2,67.6,67.0,122,109,10,5,25416.54,1024 | 2,1
1024,65536,30,3,280.1,231.9,508,497,20,10,23646.83,1024 | 3,0
1024,4096,22,3,286.0,378.5,515,481,20,2,25011.97,1024 | 3,1
1024,32768,30,3,270.2,240.8,450,398,20,10,24070.38,1024 | 3,0
1024,131072,30,3,273.05,185.6,510,383,20,10,23379.95,1024 | 3,0
1024,512,22,3,275.95,232.0,491,305,20,2,24775.39,1024 | 3,1
1024,131072,30,3,269.1,214.2,512,399,20,10,23404.01,1024 | 3,0
1024,32768,15,2,190.4,241.2,426,432,5,10,21679.59,1024 | 2,0
1024,131072,25,3,244.35,286.4,472,428,20,5,25512.56,1024 | 3,1
1024,128,10,1,51.2,88.8,84,127,5,5,23883.97,1024 | 1,0
1024,65536,7,1,261.2,316.0,476,378,5,2,24110.87,1024 | 1,0
1024,8192,20,2,245.1,272.8,458,498,10,10,24121.63,1024 | 2,0
1024,64,15,2,44.0,32.1,53,67,5,10,23339.72,1024 | 2,0
1024,1024,25,3,233.2,271.0,472,487,20,5,23709.73,1024 | 3,0
1024,131072,15,2,162.4,356.0,356,511,5,10,23933.93,1024 | 2,0
1024,256,22,3,125.95,107.0,252,172,20,2,23819.93,1024 | 3,0
1024,131072,25,3,276.3,277.0,511,447,20,5,23899.25,1024 | 3,0
1024,65536,30,3,288.4,162.8,492,409,20,10,24134.45,1024 | 3,0
1024,1024,25,3,333.4,295.4,511,504,20,5,24558.53,1024 | 3,1
1024,131072,10,1,351.2,309.8,503,483,5,5,26156.25,1024 | 1,1
1024,8192,12,2,287.4,332.0,494,349,10,2,24899.59,1024 | 2,1
1024,512,30,3,319.6,247.6,511,462,20,10,26439.51,1024 | 3,1
1024,128,25,3,64.55,59.0,129,131,20,5,22624.3,1024 | 3,0
1024,32768,15,2,253.9,178.4,486,448,10,5,25446.22,1024 | 2,1
1024,256,30,3,121.8,170.3,255,258,20,10,23180.79,1024 | 3,0
1024,4096,30,3,249.4,270.7,501,498,20,10,25624.1,1024 | 3,1
1024,8192,15,2,299.4,212.5,415,408,5,10,23863.91,1024 | 2,0
1024,64,30,3,35.8,38.6,65,55,20,10,23474.73,1024 | 3,0
1024,32768,25,3,258.85,261.6,483,420,20,5,23442.21,1024 | 3,0
1024,16384,30,3,183.85,273.6,398,440,20,10,23933.57,1024 | 3,0
1024,131072,25,3,291.85,158.0,498,291,20,5,23015.4,1024 | 3,0
1024,8192,15,2,399.0,211.7,475,412,5,10,23289.12,1024 | 2,0
1024,65536,7,1,246.8,169.0,455,189,5,2,26222.82,1024 | 1,1
1024,2048,15,2,407.4,336.6,499,481,5,10,23001.36,1024 | 2,0
1024,131072,15,2,218.9,360.8,464,450,10,5,24014.67,1024 | 2,0
1024,131072,12,2,181.0,433.0,422,505,10,2,26209.1,1024 | 2,1
1024,65536,20,2,276.2,275.5,501,496,10,10,25331.45,1024 | 2,1
1024,64,10,1,34.8,41.6,58,60,5,5,26013.76,1024 | 1,1
1024,16384,20,2,320.3,306.4,491,488,10,10,23700.77,1024 | 2,0
1024,32768,25,3,262.75,318.8,510,501,20,5,22970.5,1024 | 3,0
